id,title,authors,pub_date,venue,volume,issue,page,type,publisher,editor
tmp:gesis-ssoar-92234_ref-0_block-1469064,"Die Religion innerhalb der Grenzen der bloßen Vernunft, Werkausgabe, Bd",,1974,Frankfurt a. M,,,645-879,journal article,,"VIII (hrsg., "
doi:10.1515/9783112531082,Schriften Hegels Jenaer Realphilosophie,,1969,,,,,,,
tmp:gesis-ssoar-92234_ref-2_block-1344748,"Der Geist des Christentums und sein Schicksal, Werke, Bd. 1, Frankfurt a",,1986,M,,,274-418,journal article,,
doi:10.5840/pra19841012,"Differenz des Fichteschen und des Schellingschen Systems der Philosophie, Werke, Bd. 2, Frankfurt a",,1986,M,,,9-138,journal article,,
doi:10.5840/gps1984224,"Glauben und Wissen oder die Reflexionsform der Subjektivität in der Voll- ständigkeit ihrer Formen als Kantische, Jacobische und Fichtesche Philosophie, Werke, Bd. 2, Frankfurt a",,1986,M,,,287-433,journal article,,
tmp:gesis-ssoar-92234_ref-5_block-1919714,"3, Frankfurt a","Geistes, Phänomenologie; Werke, Bd; M, ; M, Frankfurt",1986,M,6,,,journal article,,
tmp:gesis-ssoar-92234_ref-6_block-1344749,Enzyklopädie der philosophischen Wissenschaften III,,1986,Die Philosophie des Geistes,,,,journal article,,
doi:10.5840/ipq198626436,"Vorlesungen über die Philosophie der Geschichte, Werke, Bd. 10, Frank- furt a",,1986,M,,,,journal article,,
tmp:gesis-ssoar-92234_ref-8_block-1344750,"Schriften Nietzsches Die Geburt der Tragödie, KSA",,1999,Bd,1,,9-156,journal article,,
tmp:gesis-ssoar-92234_ref-9_block-1604294,"Vom Nutzen und Nachtheil der Historie für das Leben, KSA","Betrachtungen, Unzeitgemässe",1999,Bd,1,,243-334,journal article,,
tmp:gesis-ssoar-92234_ref-10_block-1469065,"Gedanken über die moralischen Vorurtheile, KSA","Morgenröthe, ",1999,Bd,3,,9-332,journal article,,
tmp:gesis-ssoar-92234_ref-11_block-1124661,"Die fröhliche Wissenschaft, KSA",,1999,Bd,3,,343-652,journal article,,
dnb:DE-599-DNB958999724-OCoLC-247054680-00-A42-0172,"Vorspiel einer Philosophie der Zukunft, KSA","Gut, Jenseits; Böse, ",1999,Bd,5,,9-244,journal article,,
tmp:gesis-ssoar-92234_ref-13_block-1227235,"Zur Genealogie der Moral. Eine Streitschrift, KSA",,1999,Bd,5,,245-412,journal article,,
dnb:DE-599-DNB900575735-OCoLC-721607352-90-A18-0154,Götzendämmerung oder Wie man mit dem Hammer philosophirt,,1999,,,,55-162,book,KSA,
tmp:gesis-ssoar-92234_ref-15_block-1124662,"Fluch auf das Christentum, KSA","Antichrist, ",1999,Bd,6,,165-254,journal article,,
openalex:W2915652275,"Nachgelassene Fragmente 1885-1887, KSA",,1999,Bd,12,,,journal article,,
tmp:gesis-ssoar-92234_ref-17_block-1701410,,"grammatologie, ; Paris, ",1967,,,,,,,
dnb:DE-599-DNB870895966-OCoLC-74847923-87-A33-0087,"Die Schrift und die Differenz, Frankfurt a","différence, 'écriture; Paris, ",1967,M,,,,journal article,,
tmp:gesis-ssoar-92234_ref-19_block-1227236,"Marges de la philosophie, Paris 1972 (dt",,1999,,,,,book,Randgänge der Philosophie,
tmp:gesis-ssoar-92234_ref-20_block-1344751,,,,"Tympanon, in: Randgänge",,,13-30,book chapter,,"tympan, in; Marges, I X X V"
tmp:gesis-ssoar-92234_ref-21_block-1344752,,,,"La différance, in: Marges",,,1-29,book chapter,,
openalex:W649286388,"Le ""Fondement mystique de l'autorité""","loi, Force",1994,,,,,,,
tmp:gesis-ssoar-92234_ref-23_block-1857206,,"l'amitié, Politiques; Paris, ",1994,,,,,,,
tmp:gesis-ssoar-92234_ref-24_block-2017264,"Les deux sources de la ""religion"" aux limites de la simple rai- son, Paris 2001 (dt","savoir, Foi",2001,"Glaube und Wissen. Die beiden Quellen der ""Reli- gion"" an den Grenzen der bloßen Vernunft",,,9-106,book chapter,,"Vattimo, Ders; Gianni, "
tmp:gesis-ssoar-92234_ref-25_block-1857207,,"condition, 'Université; Paris, ",2001,,,,,,,
tmp:gesis-ssoar-92234_ref-26_block-1604295,,"Fichus, Paris",2002,,,,,,,
tmp:gesis-ssoar-92234_ref-27_block-1227237,"Deux essais sur la raison, Paris 2003","Voyous, ",,,,,,,,
tmp:gesis-ssoar-92234_ref-28_block-943208,,"Literatur, Sonstige",,,,,,,,
tmp:gesis-ssoar-92234_ref-29_block-1604296,"Negative Dialektik, Schriften, Bd. 6, Frankfurt a","Adorno, Theodor",1997,M,,,7-412,journal article,,
tmp:gesis-ssoar-92234_ref-30_block-1469066,"Probleme der Moralphilosophie, Nachgelassene Schriften","Adorno, Theodor",1997,Abt,10,,,journal article,,
sowiport:fes-bib-7720115,Philosophische Schriften,"Aristoteles, Metaphysik",2005,Bd,5,,,journal article,,
openalex:W584593659,,"Beck, Ulrich Giddens; Anthony/Lash, Scott; Kontroverse, Reflexive Modernisierung Eine; M, Frankfurt",1996,,,,,,,
tmp:gesis-ssoar-92234_ref-33_block-18657,"Über den Begriff der Geschichte», in: Gesammelte Schriften, Bd. I.2, Frankfurt a","Benjamin, Walter",1980,M,,,691-704,journal article,,
tmp:gesis-ssoar-92234_ref-34_block-18657,"Zur Kritik der Gewalt, in: Gesammelte Schriften, Bd. II.1, Frankfurt a","Benjamin, Walter",1980,M,,,179-203,journal article,,
openalex:W1516609933,,"Bennington, Geoffrey Derrida; Jacques, Jacques Derrida Ein Porträt; M, Frankfurt",1994,,,,,,,
tmp:gesis-ssoar-92234_ref-36_block-1784744,,"Bertaux, Friedrich Hölderlin; M, Frankfurt",1981,,,,,,,
tmp:gesis-ssoar-92234_ref-37_block-1344753,"Gender Trouble, New York/London 1990","Butler, Judith",,,,,,,,
tmp:gesis-ssoar-92234_ref-38_block-1469067,Discours de la Méthode/Bericht über die Methode,"Descartes, René",2001,Stutt,,,,journal article,,
sowiport:gesis-solis-00404034,Entzweiung,"Flügel-Martinsen, Oliver",2008,,,,,book,"Die Normativität der Moderne, Ba- den-Baden",
tmp:gesis-ssoar-92234_ref-40_block-996377,Das Konstruieren einer Wirklichkeit,"Foerster, Heinz",,Wirklichkeit,,,39-60,book chapter,,"Watzlawick, "
tmp:gesis-ssoar-92234_ref-41_block-2017265,"Nietzsche, la généalogie, l'histoire, in: Dits et écrits I, 1954-1975","Foucault, Michel",2001,"Nietzsche, die Genealogie, die Historie, in: Dits et Écrits. Schriften, Bd",,,1004-1024,journal article,,"dt, "
tmp:gesis-ssoar-92234_ref-42_block-1604297,"La vérité et les formes juridiques, in: Dits et écrits I, 1954-1975","Foucault, Michel",2001,,,,1406-1514,,,
openalex:W2770709800,Systemphilosophie als Selbsterkennt- nis,,2006,Hegel und der Neukantianismus,,,,journal article,,"Fulda, Hans Friedrich Krijnen"
dnb:DE-599-ZDB2205498-4-OCoLC-85681425-07-A38-0116,Philosophische Anthropologie,"Gehlen, Arnold",1986,"Ders., Anthropologische und sozialpsychologische Untersuchungen",,,7-144,book chapter,,
tmp:gesis-ssoar-92234_ref-45_block-2017266,,"Geier, Manfred; Welt, Kants; Reinbek, ",2003,,,,,,,
doi:10.1007/978-3-322-91089-9_17,"Ernst v., Einführung in den radikalen Konstruktivismus","Glaserfeld, ",,Wirklichkeit,,,16-38,book chapter,,"Watzlawick, "
openalex:W610960121,"Einsätze des Denkens. Zur Philosophie von Jacques Derrida, Frankfurt a",,1997,M,,,,journal article,,"Gondek, Hans Dieter Waldenfels; Bernhard, "
openalex:W3028961148,Derridas performative Wende,"Gondek, Hans Dieter Waldenfels; Bernhard, ",,Einsätze,,,7-18,book chapter,,"Dies, "
doi:10.5840/jphil198784124,"Der philosophische Diskurs der Moderne. Zwölf Vor- lesungen, Frankfurt a","Habermas, Jürgen",1988,M,,,,journal article,,
tmp:gesis-ssoar-92234_ref-50_block-1784745,Glauben und Wissen,"Habermas, Jürgen",2001,"Friedenspreis des Deutschen Buchhandels 2001, Jürgen Habermas. Ansprachen aus Anlass der Verleihung, Frankfurt a. M",,,,book chapter,,"Deutschen Buchhandels, Börsenverein"
openalex:W1503250696,"Zwischen Naturalismus und Religion. Philosophische Aufsätze, Frankfurt a","Habermas, Jürgen; M, ",2005,,,,,,,
tmp:gesis-ssoar-92234_ref-52_block-1227238,"Nietzsches Wort ""Gott ist tot""","Heidegger, Martin",1950,,,,193-247,,,"Ders., Holzwege; M, Frankfurt"
openalex:W1513243586,"Was ist Metaphysik?, Frankfurt a","Heidegger, Martin",1998,,,,,,,
openalex:W2086295283,,"Hölderlin, Friedrich; Griechenland, Hyperion; M, Frankfurt",1979,,,,,,,
openalex:W640585888,Leiden an Unbestimmtheit. Eine Reaktualisierung der He- gelschen Rechtsphilosophie,"Honneth, Axel",2001,,,,,,,
dnb:DE-599-DNB970754825-OCoLC-76483296-04-A45-0073,Furcht und Zittern,"Kierkegaard, Sören",2004,,,,,,,
tmp:gesis-ssoar-92234_ref-57_block-2017267,,"Kierkegaard, Sören; Brocken, Philosophische; Simmerath, ",2003,,,,,,,
sowiport:gesis-solis-00237633,"Die Gesellschaft der Gesellschaft, 2 Bde., Frankfurt a","Luhmann, Niklas",1997,,,,,,,
tmp:gesis-ssoar-92234_ref-59_block-1469068,"La condition postmoderne, Paris 1979 (dt","Lyotard, Jean François",1999,,,,,book,Das postmoderne Wissen,
sowiport:gesis-solis-00237633,"Die Gesellschaft der Gesellschaft, 2 Bde., Frankfurt a","Luhmann, Niklas",1997,,,,,,,
tmp:gesis-ssoar-92234_ref-61_block-2017268,,"Neiman, Susan; denken, Das Böse; M, Frankfurt",2004,,,,,book,"Nicolai, Friedrich, Sebaldus Nothanker",
tmp:gesis-ssoar-92234_ref-62_block-1344754,A Biography,"Pinkard, Terry; Hegel, ",2000,,,,,,,
tmp:gesis-ssoar-92234_ref-63_block-1469069,"Du contrat social, Paris 2001 (dt","Rousseau, ",1986,,,,,,,
openalex:W600629869,"Geschichte und Theorie des Subjekts nach Nietzsche und Foucault, Frankfurt a","Saar, Martin; Kritik, Genealogie",2007,M,,,,journal article,,
sowiport:gesis-solis-00271762,,,2000,Die Renaissance des Pragmatismus,,,,book chapter,,"Sandbothe, Mike"
openalex:W1540835008,"John Rawls' politischer Libe- ralismus, Frankfurt a","Schaub, Jörg; Versöhnung, Gerechtigkeit",2009,M,,,,journal article,,
dnb:DE-599-DNB959419985-OCoLC-247494615-00-A35-0290,"Hegels praktische Philosophie, Frankfurt a","Schnädelbach, Herbert; M, ",2000,,,,,,,
openalex:W656101438,"Analytische und postanalytische Philosophie. Vor- träge und Abhandlungen 4, Frankfurt a","Schnädelbach, Herbert",2004,M,,,,journal article,,
doi:10.1515/9783050081939.283,Grenzen der Vernunft? Über einen Topos kritischer Philosophie,"Schnädelbach, Herbert",,"Ders., Analytische und postanalytische Philosophie",,,90-110,book chapter,,
doi:10.1524/hgjb.1999.1.jg.220,Der Weg der Phänomenologie des Geistes,"Siep, Ludwig",2000,"Ein einführender Kommentar zu Hegels ""Differenzschrift"" und ""Phänomenologie des Geistes"", Frankfurt a. M",,,,book chapter,,
openalex:W632783706,"Der Beobachter im Gehirn. Essays zur Hirnforschung, Frankfurt a","Singer, Wolf; M, ",2002,,,,,,,
openalex:W605802376,"Philosophie des Selbstbewusstseins. Hegels System als Formanalyse von Wissen und Autonomie, Frankfurt a","Stekeler-Weithofer, Pirmin",2005,M,,,,journal article,,
tmp:gesis-ssoar-92234_ref-73_block-971399,A Secular Age,"Taylor, Charles",2007,,,,,,,
tmp:gesis-ssoar-92234_ref-74_block-1604298,Frankfurt a,"Tugendhat, Ernst; Aufsätze, ; M, ",1992,,,,,,,
tmp:gesis-ssoar-92234_ref-75_block-1124663,Macht und Antiegalitarismus bei Nietzsche und Hitler,"Tugendhat, Ernst",,,,,225-261,book,"Ders., Aufsätze",
tmp:gesis-ssoar-92234_ref-76_block-1604299,,,2001,Die erfundene Wirklichkeit,,,,book chapter,,"Watzlawick, Paul"
dnb:DE-599-DNB1046668544-OCoLC-1185351691-14-O02,Der Streit um die Wahrheit,"Wellmer, Albrecht",,Die Renaissance des Pragmatismus,,,253-269,book chapter,,"Sandbothe, "
sowiport:ubk-opac-LY000059598,Justice and the Politics of Difference,"Young, Iris Marion",1990,,,,,,,
tmp:gesis-ssoar-92234_ref-79_block-1124664,"Philosophie und Nicht-Philosophie Gilles Deleuze -Aktuelle Diskussionen März 2011, ca",,,,,,,,,"Balke, Friedrich; Rölli, Marc"
tmp:gesis-ssoar-92234_ref-80_block-1124665,"Rita Casale Heideggers Nietzsche Geschichte einer Obsession Oktober 2010, 374 Seiten, kart., 29,80 €",,,,,,,,,
tmp:gesis-ssoar-92234_ref-81_block-1124666,"Christian Filk Günther Anders lesen Der Ursprung der Medienphilosophie aus dem Geist der ›Negativen Anthropologie‹ Mai 2011, ca",,,,,,,,,
tmp:gesis-ssoar-92234_ref-82_block-1124667,"Martin Gessmann Wittgenstein als Moralist Eine medienphilosophische Relektüre 2009, 218 Seiten, kart., 23,80 €",,,,,,,,,
tmp:gesis-ssoar-92234_ref-83_block-1124668,"Abwehr Modelle -Strategien -Medien 2009, 212 Seiten, kart., 25,80 €",,,,,,,,,"Pias, Claus"
tmp:gesis-ssoar-92234_ref-84_block-1124669,"Kurt Röttgers Kritik der kulinarischen Vernunft Ein Menü der Sinne nach Kant 2009, 256 Seiten, kart., 26,80 €",,,,,,,,,
tmp:gesis-ssoar-92234_ref-85_block-1784746,,,,"Philosophie in Experimenten Versuche explorativen Denkens März 2011, ca. 270 Seiten, kart., zahlr. Abb., ca. 28,80 €",,,,book chapter,,"Gamm, Gerhard; Kertscher, Jens"
tmp:gesis-ssoar-92234_ref-86_block-1124670,"Fernand Mathias Guelf Die urbane Revolution Henri Lefèbvres Philosophie der globalen Verstädterung Juni 2010, 320 Seiten, kart., 29,80 €",,,,,,,,,
tmp:gesis-ssoar-92234_ref-87_block-1344755,"Gleichheit Gleichheit und Intersubjektivität im Anschluss an Hegel März 2011, ca","Madureira Kommunikative, Miriam Mesquita Sampaio",,,,,,,,
tmp:gesis-ssoar-92234_ref-88_block-1701411,,,,Die Seele: Metapher oder Wirklichkeit? Philosophische Ergründungen,,,,book chapter,,"Nickl, Peter; Terizakis, Georgios"
tmp:gesis-ssoar-92234_ref-89_block-1227239,Texte zum ersten Festival der Philosophie in Hannover,,2008,,,,,,,
tmp:gesis-ssoar-92234_ref-90_block-943209,"26,80 €","Seiten, kart",,,,,,,,
tmp:gesis-ssoar-92234_ref-91_block-1124671,,,,,,,,,,"Leseproben, weitere Informationen; Mirjam Schaub, Bestellmöglichkeiten"
tmp:gesis-ssoar-92234_ref-92_block-1124672,"Grausamkeit und Metaphysik Figuren der Überschreitung in der abendländischen Kultur 2009, 420 Seiten, kart., 35,80 €",,,,,,,,,
tmp:gesis-ssoar-92234_ref-93_block-1784747,,,,"Politik der Zeugenschaft Zur Kritik einer Wissenspraxis Dezember 2010, 358 Seiten, kart., 32,80 €",,,,book chapter,,"Schmidt, Sibylle; Krämer, Sybille; Voges, Ramon"
tmp:gesis-ssoar-92234_ref-94_block-1469070,Moderne Theoriebildung und der Effekt Kantischer Moralphilosophie,"Norm?, Tatjana Schönwälder Kuntze Freiheit",2010,,,,,,,
tmp:gesis-ssoar-92234_ref-95_block-907768,,,,,,,,,,"Staude, Detlef"
tmp:gesis-ssoar-92234_ref-96_block-1124673,"Methoden Philosophischer Praxis Ein Handbuch November 2010, 280 Seiten, kart., 28,80 €",,,,,,,,,
tmp:gesis-ssoar-92234_ref-97_block-1124674,"Nikolaus Urbanek Auf der Suche nach einer zeitgemäßen Musikästhetik Adornos »Philosophie der Musik« und die Beethoven-Fragmente Juni 2010, 322 Seiten, kart., 32,80 €",,,,,,,,,
tmp:gesis-ssoar-92234_ref-98_block-1124675,"Jörg Volbers Selbsterkenntnis und Lebensform Kritische Subjektivität nach Wittgenstein und Foucault 2009, 290 Seiten, kart., 29,80 €",,,,,,,,,
tmp:gesis-ssoar-92083_ref-0_block-1604300,,"Finanzplanungen, Aufgaben und; Globalbudgets, Leistungsaufträge Leistungsvereinbarungen",,,,,,,,
tmp:gesis-ssoar-92083_ref-1_block-907769,Als Folge der Kosten-und Effizienzorientierung,,,,,,,,,
tmp:gesis-ssoar-92083_ref-2_block-1124676,Etwa durch eine Reduktion auf ein reines Globalbudget ohne kompensatorische Massnahmen wie Anga- ben zur Leistungserstellung,,,,,,,,,
tmp:gesis-ssoar-92083_ref-3_block-943210,Parlaments-und teilweise auch Exekutivmitglieder im Nebenamt,,,,,,,,,
tmp:gesis-ssoar-92083_ref-4_block-943211,Etwa Datenschutz im Zusammenhang mit Dezentralisierungen,,,,,,,,,
tmp:gesis-ssoar-92083_ref-5_block-943212,,"Leistungsvereinbarungen, Detaillierungsgrad",,,,,,,,
doi:10.1007/978-3-211-36706-3_9,Anforderungen an staatliche Wirtschaftstätigkeit,"Insb, ",,,,,,book,Grenzen von Auslagerungen,
tmp:gesis-ssoar-92083_ref-7_block-1124677,,"Wirkungs-und Effizienzorientierung, Insb",,,,,,,,
tmp:gesis-ssoar-92083_ref-8_block-886509,Auch im verwaltungsinternen Verhältnis,,,,,,,,,
doi:10.1007/978-3-662-10930-4_11,Anforderungen an die sog,"Gesetzesbegriff, Enger",,,,,,,,
tmp:gesis-ssoar-92083_ref-10_block-1124678,Anforderungen an den Einbezug von Dritten in die Aufgabenerfüllung sowie Anwendung auf gleichartige Behörden mit unterschiedlicher Zuständigkeit,,,,,,,,,
tmp:gesis-ssoar-92083_ref-11_block-996378,,"Unternehmen, Betreffend",,,,,,,,
tmp:gesis-ssoar-92083_ref-12_block-907770,Geltungskraft im verwaltungsinternen Verhältnis,,,,,,,,,
tmp:gesis-ssoar-92083_ref-13_block-1124679,"Beispielsweise Pflicht zu einer leistungsfähigen, wirkungsvollen und effizienten Verwaltungsorganisation oder Finanzhaushaltsführung",,,,,,,,,
tmp:gesis-ssoar-92083_ref-14_block-1469071,"Beispielsweise strengere Handhabung des Legalitätsprinzips in der Hoheitsverwaltung, geringere Anfor- derungen an die Rechtsgrundlage bei freiwilliger Begründung von Rechtsverhältnissen in der Form von Verträgen, weniger intensive Aufsicht bzw",,,Oberaufsicht bei ausgelagerten Verwaltungseinheiten,,,,book chapter,,
tmp:gesis-ssoar-92083_ref-15_block-1124680,"Beispielsweise Berücksichtigung von Effizienz und Praktikabilität bei der Verteilung der Rechtsetzungs- befugnisse zwischen Parlament und Regierung, Wandel hin zu einem kooperativen Gewaltenteilungsver- ständnis, steter Wandel der öffentlichen Interessen, Entwicklung einer Lehre der Grundrechtsbindung de- zentraler Organisationsformen",,,,,,,,,
tmp:gesis-ssoar-92083_ref-16_block-996379,Wie Verbesserung des Rechtsschutzes bei geringeren Anforderungen an das Verwaltungshandeln,,,,,,,,,
tmp:gesis-ssoar-92083_ref-17_block-1124681,"Beispielsweise bezüglich des Erfordernisses einer formellgesetzlichen Grundlage für die Errichtung von dezentralen Organisationsformen, der näheren Ausgestaltung der Budgethoheit oder in Bezug auf die Subdelegation von Rechtsetzungsbefugnissen",,,,,,,,,
tmp:gesis-ssoar-92083_ref-18_block-1124682,"Insbesondere ausgewogene Machtverteilung, hohe demokratische Legitimation für Grundlegendes und Wichtiges, Budgethoheit",,,,,,,book,Aufsichtsverantwortung,
tmp:gesis-ssoar-92083_ref-19_block-1124683,Einschliesslich nicht der parlamentarischen Beschlussfassung unterliegenden Angaben zur Leistungser- stellung sowie mit bestimmten teilweise Input-orientierten Vorgaben ergänzte Produktgruppen-oder al- lenfalls Dienststellenbudgets,,,,,,,,,
tmp:gesis-ssoar-92083_ref-20_block-996380,,"Kundenräte, Etwa Kundenbefragungen",,,,,,,,
tmp:gesis-ssoar-92083_ref-21_block-1124684,"Insbesondere unmittelbare Leistungsadressaten, mittelbar Betroffene, Allgemeinheit",,,,,,,,,
tmp:gesis-ssoar-92083_ref-22_block-1344756,Verwaltungseinheiten mit fachlicher Unabhängigkeit,"Stabsstellen, Beispielsweise; Querschnittsämter, Subventionsämter",,,,,,,,
tmp:gesis-ssoar-92083_ref-23_block-1124685,Wobei insbesondere das Kollegial-und das Milizprinzip eine sorgfältige Interessenabwägung erfordern,,,,,,,,,
tmp:gesis-ssoar-92083_ref-24_block-1124686,Privatwirtschaftliches Handeln kann grundsätzlich auch in öffentlichrechtlicher Form erfolgen,,,,,,,,,
tmp:gesis-ssoar-92083_ref-25_block-1469072,In der hier vertretenen Konzeption ohne Beschlussfassung über die Leistungsseite des Voranschlags,,2001,Literatur Balthasar,,,,journal article,,
openalex:W2810703045,"Staatsrechtliche Kernfragen der wirkungsorientierten Steuerung in den Kantonen, Schweizerisches Zentralblatt für Staats-und Verwaltungsrecht (ZBl","Bolz, Urs Lienhard; Andreas, ",2001,,,,1,,,
openalex:W2489596343,Adressatengerechte Berichterstattung bei Leistungsaufträgen,"Brun, Mathias",2003,,,,,book,Haupt,
tmp:gesis-ssoar-92083_ref-28_block-1344757,"Bericht über das Führen mit Leistungsauftrag und Globalbudget (FLAG) -Evaluation und weiteres Vorgehen, 19","Bundesrat, ",,,,,,,,
openalex:W2810980225,"Vom Nutzen des NPM für das Parlament, Parlament (Mitteilungsblatt der Schweizeri- schen Gesellschaft für Parlamentsfragen","März, ",2003,S,3,,,journal article,,
